"annotation_id","annotator","choice","created_at","id","image","lead_time","updated_at"
62,"1","No Truck","2025-01-23T15:34:04.253202Z",14460,"/data/upload/7/f5c6e98c-img_640.jpg",5.826,"2025-01-23T15:34:04.253231Z"
63,"1","Truck","2025-01-23T15:34:10.263435Z",14461,"/data/upload/7/e488c702-img_641.jpg",3.882,"2025-01-23T15:34:10.263468Z"
64,"1","Truck","2025-01-23T15:34:14.942784Z",14462,"/data/upload/7/b8cdf9bb-img_642.jpg",2.347,"2025-01-23T15:34:14.942809Z"
65,"1","Truck","2025-01-23T15:34:19.504341Z",14463,"/data/upload/7/95ae06e3-img_643.jpg",2.906,"2025-01-23T15:34:19.504373Z"
66,"1","Truck","2025-01-23T15:34:23.583247Z",14464,"/data/upload/7/276be5ee-img_644.jpg",2.019,"2025-01-23T15:34:23.583299Z"
67,"1","Truck","2025-01-23T15:34:26.601268Z",14465,"/data/upload/7/49f045e7-img_645.jpg",2.22,"2025-01-23T15:34:26.601307Z"
68,"1","No Truck","2025-01-23T15:34:29.653272Z",14466,"/data/upload/7/b4548b32-img_646.jpg",2.124,"2025-01-23T15:34:29.653310Z"
69,"1","Truck","2025-01-23T15:34:33.410911Z",14467,"/data/upload/7/23156936-img_647.jpg",2.311,"2025-01-23T15:34:33.410939Z"
70,"1","No Truck","2025-01-23T15:34:36.724014Z",14468,"/data/upload/7/c5ab932d-img_648.jpg",2.493,"2025-01-23T15:34:36.724046Z"
71,"1","Truck","2025-01-23T15:34:40.913364Z",14469,"/data/upload/7/fff5aad2-img_649.jpg",3.081,"2025-01-23T15:34:40.913393Z"
72,"1","No Truck","2025-01-23T15:34:44.644656Z",14470,"/data/upload/7/63d3aa81-img_650.jpg",1.811,"2025-01-23T15:34:44.644686Z"
73,"1","No Truck","2025-01-23T15:34:47.245864Z",14471,"/data/upload/7/436c9bc2-img_651.jpg",1.608,"2025-01-23T15:34:47.245916Z"
74,"1","No Truck","2025-01-23T15:34:49.209903Z",14472,"/data/upload/7/90b5ea42-img_652.jpg",1.239,"2025-01-23T15:34:49.209952Z"
75,"1","No Truck","2025-01-23T15:34:51.953253Z",14473,"/data/upload/7/e48b3d68-img_653.jpg",1.911,"2025-01-23T15:34:51.953284Z"
76,"1","No Truck","2025-01-23T15:34:54.701502Z",14474,"/data/upload/7/c54708f4-img_654.jpg",1.86,"2025-01-23T15:34:54.701528Z"
77,"1","No Truck","2025-01-23T15:34:59.587119Z",14475,"/data/upload/7/4936bd19-img_655.jpg",3.972,"2025-01-23T15:34:59.587163Z"
78,"1","Truck","2025-01-23T15:35:05.073692Z",14476,"/data/upload/7/7ee60596-img_656.jpg",3.546,"2025-01-23T15:35:05.073729Z"
79,"1","Truck","2025-01-23T15:35:07.962593Z",14477,"/data/upload/7/7dae6fb1-img_657.jpg",1.948,"2025-01-23T15:35:07.962622Z"
80,"1","No Truck","2025-01-23T15:35:11.175916Z",14478,"/data/upload/7/0da2574b-img_658.jpg",2.48,"2025-01-23T15:35:11.175945Z"
81,"1","No Truck","2025-01-23T15:35:15.785587Z",14479,"/data/upload/7/a0f67ece-img_659.jpg",3.776,"2025-01-23T15:35:15.785615Z"
